序号,预算分组,类别,位号,器件/项目,关键规格,封装,单位数量,数量单位,基础数量,备件率,MOQ,采购数量,建议料号/选型,制造商,推荐渠道,预算单价 (CNY),实际报价 (CNY),采用单价 (CNY),预计金额 (CNY),价格状态,采购优先级,供货风险,采购备注,设计追溯
1,必装元件,USB-UART 桥,U1,CH343G,USB 2.0 转 UART，UART >= 5 Mbps，3.3 V I/O，内置振荡器,SOIC-16 3.9x9.9 mm,1,每板,5,0.1,1,6,CH343G,WCH,立创商城/嘉立创,4.5,,4.5,27.00,预算估算，未询价,首批关键,中,满足 5 Mbps；禁止用速率不足的 CP2102N 替代。,requirements FR-002/FR-003；design_intent U1
2,必装元件,USB ESD,U2,USBLC6-2SC6,USB 2.0 D+/D- ESD 保护，低电容,SOT-23-6,1,每板,5,0.1,1,6,USBLC6-2SC6,STMicroelectronics,立创商城/嘉立创,1.2,,1.2,7.20,预算估算，未询价,常规,低,优先选常用现货批次。,requirements FR-001；design_intent U2
3,必装元件,数字隔离器,U3,ISO7721D,双通道数字隔离器，>= 5 Mbps，1.5 kVrms 目标,SOIC-8 3.9x4.9 mm,1,每板,5,0.1,1,6,ISO7721D,Texas Instruments,立创商城/DigiKey,12,,12,72.00,预算估算，未询价,首批关键,中,替代料必须同时满足隔离等级、速率和 SOIC-8 封装。,requirements FR-005/ER-004；design_intent U3
4,必装元件,隔离 LDO,U4,AP2112K-3.3,3.3 V 固定输出，隔离侧供电，>= 100 mA,SOT-23-5,1,每板,5,0.1,1,6,AP2112K-3.3TRG1,Diodes Incorporated,立创商城/嘉立创,0.8,,0.8,4.80,预算估算，未询价,常规,低,确认固定 3.3 V 版本。,requirements FR-004/ER-003；design_intent U4
5,必装元件,隔离电源,PS1,IB0505LS-1WR3,5 V 输入、5 V 输出、1 W 隔离 DC/DC，1500 VDC 隔离,"SIP,19.5x6x10 mm",1,每板,5,0.1,1,6,IB0505LS-1WR3,YLPTEC,立创商城,5.5,,5.5,33.00,预算估算，未询价,首批关键,高,LS 封装第 2/3 脚间距扩大，为隔离槽预留制造空间。,requirements ER-003/ER-004；design_intent PS1
6,必装元件,USB-C 连接器,J1,USB-C 母座 USB 2.0 16P,16P、USB 2.0、板载贴片/插件版本需与封装一致,XKB U262-16XN-4BVC11,1,每板,5,0.1,1,6,U262-16XN-4BVC11,XKB Connectivity,立创商城,2.2,,2.2,13.20,预算估算，未询价,常规,中,必须核对焊盘、定位柱和外壳固定方式。,requirements FR-001；design_intent J1
7,必装元件,UART 排针,J2,1x4 2.54 mm 直插排针,1x4 垂直排针,PinHeader 1x04 P2.54 mm,1,每板,5,0.1,1,6,1x4 2.54 mm 直针,常用国产,立创商城/淘宝,0.3,,0.3,1.80,预算估算，未询价,常规,低,可选弯针需先确认机械方向。,requirements FR-007；design_intent J2
8,必装元件,VOUT 选择排针,JP1,1x3 2.54 mm 直插排针,1x3 垂直排针，默认 1-2 短接,PinHeader 1x03 P2.54 mm,1,每板,5,0.1,1,6,1x3 2.54 mm 直针,常用国产,立创商城/淘宝,0.25,,0.25,1.50,预算估算，未询价,常规,低,跳线帽可和 JP1 一起采购。,requirements FR-006；design_intent JP1
9,必装元件,输入保护,F1,0.5 A 自恢复保险丝,保持电流 0.5 A，1206，耐压 >= 6 V,Fuse 1206,1,每板,5,0.1,1,6,0.5 A PPTC 1206,Littelfuse/Bourns,立创商城,0.45,,0.45,2.70,预算估算，未询价,常规,低,替换料需保持 hold current 和封装。,requirements ER-001；design_intent F1
10,必装元件,状态 LED,D1,活动状态 LED,0603，颜色和驱动电流按现有 1 kOhm 限流设计,LED 0603,1,每板,5,0.1,1,6,0603 LED,常用国产,立创商城,0.15,,0.15,0.90,预算估算，未询价,常规,低,建议确认亮度与颜色。,requirements FR-008；design_intent D1
